"datetime_utc","wxtype","visibility","temperature","wind_speed","wind_direction","wind_gust","pressure","station_name","station_number","lat","lon","report_datetime_utc","datetime_local"
"31/07/2013 12:01:00","7","12000","17.5","9","225","","1014","DONNA NOOK","3385","53.4729995727539","0.153999999165535","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","15","6000","15.6000003814697","10","225","","1015","CONINGSBY","3391","53.0940017700195","-0.171000003814697","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","23000","16.8999996185303","14","225","","1015","WAINFLEET","3392","53.0880012512207","0.273999989032745","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","6000","15.3000001907349","15","112.5","","1012","ABERDARON","3405","52.7890014648438","-4.74200010299683","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","1400","12.8999996185303","6","112.5","","1013","LAKE VYRNWY SAWS","3410","52.7569999694824","-3.46399998664856","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","20000","15.1999998092651","9","135","","1013","SHAWBURY","3414","52.7939987182617","-2.66300010681152","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","15","1700","15.3000001907349","5","67.5","","1014","WITTERING","3462","52.6110000610352","-0.458999991416931","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","12","5000","15.3999996185303","6","202.5","","1015","HOLBEACH","3469","52.8730010986328","0.141000002622604","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","8000","17.2999992370605","6","202.5","","1015","MARHAM","3482","52.6510009765625","0.569000005722046","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","35000","19.2999992370605","16","225","","1015","WEYBOURNE","3488","52.9490013122559","1.12699997425079","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","15","5000","18","13","202.5","","1011","ABERPORTH","3502","52.1389999389648","-4.57100009918213","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","14","5000","18.8999996185303","6","180","","1012","TRAWSGOED","3503","52.3440017700195","-3.94700002670288","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","15","7000","17.1000003814697","15","225","","1013","SENNYBRIDGE","3507","52.0629997253418","-3.61400008201599","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","15000","16.6000003814697","2","90","","1013","SHOBDON SAWS","3520","52.242000579834","-2.88499999046326","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","14","6000","18.8999996185303","2","202.5","","1013","HEREFORD","3522","52.0830001831055","-2.79999995231628","31/07/2013 11:00:00","31/07/2013 12:00:00"
